sample_type,N_rate,P_rate,K_rate,global_warming,marine_eutrophication,terrestrial_acidification
OAT_N,121.9193,50,30,5082.240407,0.694523171,26.10316664
OAT_N,122.1608,50,30,5083.439246,0.694640999,26.1083721
OAT_N,125.7506,50,30,5101.259495,0.696392471,26.18574923
OAT_N,131.6507,50,30,5130.548384,0.699271145,26.31292422
OAT_N,129.2646,50,30,5118.703463,0.698106961,26.26149251
OAT_N,120.3858,50,30,5074.627907,0.693774972,26.07011248
OAT_N,127.3614,50,30,5109.255723,0.697178385,26.22046957
OAT_N,139.0689,50,30,5167.373326,0.702890503,26.47282142
OAT_N,126.9904,50,30,5107.414029,0.696997373,26.21247277
OAT_N,140.8619,50,30,5176.274018,0.703765312,26.51146903
OAT_N,140.3837,50,30,5173.900169,0.703531997,26.50116157
OAT_N,138.8226,50,30,5166.150659,0.702770332,26.4675125
OAT_N,125.3596,50,30,5099.318519,0.696201702,26.17732134
OAT_N,126.907,50,30,5107.00002,0.696956682,26.21067511
OAT_N,146.7112,50,30,5205.310729,0.7066192,26.63754904
OAT_N,143.9906,50,30,5191.805306,0.705291812,26.57890728
OAT_N,141.5943,50,30,5179.90975,0.704122652,26.52725571
OAT_N,140.6167,50,30,5175.056813,0.703645678,26.50618382
OAT_N,135.243,50,30,5148.381044,0.701023837,26.39035523
OAT_N,149.4642,50,30,5218.976991,0.707962395,26.69688918
OAT_N,143.6648,50,30,5190.187991,0.705132854,26.57188475
OAT_N,146.0649,50,30,5202.102409,0.706303869,26.62361823
OAT_N,143.6071,50,30,5189.90156,0.705104702,26.57064104
OAT_N,126.0047,50,30,5102.520882,0.696516447,26.19122628
OAT_N,125.2174,50,30,5098.612619,0.696132322,26.17425625
OAT_N,125.6651,50,30,5100.835062,0.696350756,26.1839063
OAT_N,132.5891,50,30,5135.206728,0.699728992,26.33315117
OAT_N,149.0992,50,30,5217.165082,0.707784311,26.68902171
OAT_N,120.8694,50,30,5077.028563,0.694010922,26.08053634
OAT_N,147.8146,50,30,5210.788155,0.707157551,26.66133252
OAT_N,127.886,50,30,5111.859908,0.697434338,26.23177717
OAT_N,127.7995,50,30,5111.43051,0.697392135,26.22991269
OAT_N,131.9159,50,30,5131.864873,0.699400537,26.31864053
OAT_N,145.0481,50,30,5197.054878,0.705807769,26.60170139
OAT_N,137.2882,50,30,5158.533692,0.702021695,26.43443894
OAT_N,141.5086,50,30,5179.484324,0.704080839,26.52540847
OAT_N,120.0409,50,30,5072.915777,0.693606695,26.06267826
OAT_N,121.285,50,30,5079.091657,0.694213694,26.08949448
OAT_N,136.1514,50,30,5152.890464,0.701467047,26.40993554
OAT_N,137.9961,50,30,5162.047802,0.702367081,26.44969752
OAT_N,134.5768,50,30,5145.073938,0.700698796,26.37599548
OAT_N,132.119,50,30,5132.873088,0.69949963,26.32301829
OAT_N,148.0411,50,30,5211.912532,0.707268061,26.66621466
OAT_N,131.7089,50,30,5130.837297,0.699299541,26.3141787
OAT_N,122.4726,50,30,5084.987063,0.694793127,26.11509287
OAT_N,132.3715,50,30,5134.126532,0.699622825,26.32846086
OAT_N,135.9249,50,30,5151.766087,0.701356538,26.40505339
OAT_N,122.6446,50,30,5085.840894,0.694877046,26.11880028
OAT_N,143.2323,50,30,5188.041002,0.704921836,26.56256233
OAT_N,138.9158,50,30,5166.613317,0.702815805,26.4695214
OAT_N,120.2873,50,30,5074.13894,0.693726914,26.06798934
OAT_N,142.7983,50,30,5185.886568,0.704710086,26.55320759
OAT_N,148.7309,50,30,5215.336792,0.707604616,26.6810831
OAT_N,142.3682,50,30,5183.751494,0.704500239,26.5439369
OAT_N,147.4193,50,30,5208.825833,0.706964684,26.65281194
OAT_N,131.397,50,30,5129.288983,0.699147364,26.30745579
OAT_N,122.4558,50,30,5084.903665,0.69478493,26.11473075
OAT_N,127.6006,50,30,5110.443144,0.697295091,26.22562546
OAT_N,144.1782,50,30,5192.736577,0.705383343,26.58295094
OAT_N,143.2283,50,30,5188.021146,0.704919884,26.56247612
OAT_N,120.2644,50,30,5074.025261,0.693715741,26.06749574
OAT_N,145.1965,50,30,5197.791555,0.705880174,26.60490011
OAT_N,131.5219,50,30,5129.909004,0.699208303,26.31014797
OAT_N,124.4758,50,30,5094.931217,0.695770493,26.15827128
OAT_N,134.4279,50,30,5144.334778,0.700626148,26.37278598
OAT_N,144.9736,50,30,5196.68505,0.705771421,26.60009556
OAT_N,144.2206,50,30,5192.947056,0.70540403,26.58386486
OAT_N,140.4654,50,30,5174.305739,0.703571859,26.50292259
OAT_N,129.8685,50,30,5121.701304,0.698401605,26.2745094
OAT_N,145.1883,50,30,5197.750849,0.705876173,26.60472336
OAT_N,132.1065,50,30,5132.811037,0.699493531,26.32274886
OAT_N,135.893,50,30,5151.607731,0.701340973,26.4043658
OAT_N,135.6262,50,30,5150.2833,0.701210801,26.398615
OAT_N,132.931,50,30,5136.903965,0.699895806,26.34052072
OAT_N,122.8341,50,30,5086.781597,0.694969504,26.1228849
OAT_N,131.7171,50,30,5130.878003,0.699303542,26.31435545
OAT_N,122.646,50,30,5085.847844,0.694877729,26.11883045
OAT_N,144.3947,50,30,5193.811312,0.705488974,26.58761754
OAT_N,132.6182,50,30,5135.351184,0.69974319,26.33377841
OAT_N,123.0186,50,30,5087.69748,0.695059522,26.12686174
OAT_N,136.1052,50,30,5152.661121,0.701444506,26.40893971
OAT_N,124.0374,50,30,5092.75494,0.695556597,26.14882169
OAT_N,126.765,50,30,5106.295113,0.6968874,26.20761434
OAT_N,131.4555,50,30,5129.579385,0.699175906,26.30871674
OAT_N,147.9026,50,30,5211.224999,0.707200487,26.66322933
OAT_N,149.6194,50,30,5219.747425,0.708038118,26.70023447
OAT_N,120.3802,50,30,5074.600108,0.69377224,26.06999178
OAT_N,145.139,50,30,5197.506117,0.70585212,26.60366071
OAT_N,136.8673,50,30,5156.444287,0.701816337,26.42536656
OAT_N,130.4027,50,30,5124.353145,0.698662243,26.28602393
OAT_N,144.4964,50,30,5194.316165,0.705538593,26.58980965
OAT_N,129.8433,50,30,5121.576208,0.69838931,26.27396622
OAT_N,147.0779,50,30,5207.131077,0.706798114,26.64545316
OAT_N,147.0309,50,30,5206.897763,0.706775182,26.64444008
OAT_N,145.062,50,30,5197.123879,0.705814551,26.602001
OAT_N,125.5049,50,30,5100.039807,0.696272594,26.18045324
OAT_N,136.8616,50,30,5156.415992,0.701813556,26.4252437
OAT_N,140.4229,50,30,5174.094763,0.703551123,26.50200651
OAT_N,148.0959,50,30,5212.184566,0.707294798,26.66739586
OAT_N,120.2523,50,30,5073.965195,0.693709837,26.06723493
OAT_N,130.2414,50,30,5123.55243,0.698583544,26.28254715
OAT_N,136.5107,50,30,5154.674077,0.701642351,26.41768015
OAT_N,138.4244,50,30,5164.173941,0.70257605,26.45892941
OAT_N,130.9769,50,30,5127.20355,0.698942396,26.29840065
OAT_N,137.5276,50,30,5159.722105,0.702138499,26.43959914
OAT_N,122.0159,50,30,5082.719943,0.694570302,26.10524883
OAT_N,142.2162,50,30,5182.996946,0.704426078,26.54066059
OAT_N,134.2422,50,30,5143.412938,0.700535544,26.36878327
OAT_N,142.9112,50,30,5186.447019,0.704765171,26.55564111
OAT_N,133.3474,50,30,5138.971031,0.700098969,26.34949611
OAT_N,128.5202,50,30,5115.008162,0.697743766,26.24544718
OAT_N,126.1058,50,30,5103.022756,0.696565774,26.19340547
OAT_N,131.438,50,30,5129.492513,0.699167368,26.30833953
OAT_N,128.5794,50,30,5115.302038,0.69777265,26.24672321
OAT_N,147.183,50,30,5207.652808,0.706849392,26.64771856
OAT_N,145.8118,50,30,5200.845987,0.70618038,26.61816273
OAT_N,147.6603,50,30,5210.022189,0.707082268,26.65800662
OAT_N,127.413,50,30,5109.511872,0.697203561,26.22158179
OAT_N,125.7955,50,30,5101.482385,0.696414378,26.18671704
OAT_N,142.89,50,30,5186.341779,0.704754827,26.55518415
OAT_N,137.4184,50,30,5159.180022,0.70208522,26.43724536
OAT_N,129.6045,50,30,5120.390772,0.698272799,26.26881896
OAT_N,132.7122,50,30,5135.817813,0.699789053,26.33580455
OAT_N,131.6909,50,30,5130.747942,0.699290758,26.31379072
OAT_N,134.6215,50,30,5145.295834,0.700720605,26.37695897
OAT_N,138.3432,50,30,5163.770853,0.702536432,26.45717917
OAT_N,135.3741,50,30,5149.031842,0.701087801,26.39318105
OAT_N,127.017,50,30,5107.546075,0.697010351,26.21304612
OAT_N,137.4102,50,30,5159.139316,0.702081219,26.43706861
OAT_N,149.3012,50,30,5218.167837,0.707882867,26.69337576
OAT_N,144.1361,50,30,5192.527587,0.705362802,26.58204349
OAT_N,130.192,50,30,5123.307201,0.698559441,26.28148235
OAT_N,122.2488,50,30,5083.87609,0.694683935,26.11026892
OAT_N,135.5214,50,30,5149.763059,0.701159669,26.39635606
OAT_N,136.1286,50,30,5152.777281,0.701455923,26.40944409
OAT_N,149.4548,50,30,5218.930328,0.707957809,26.69668656
OAT_N,146.969,50,30,5206.590483,0.706744981,26.64310585
OAT_N,124.826,50,30,5096.669657,0.695941357,26.16581974
OAT_N,123.4821,50,30,5089.998356,0.695285665,26.13685235
OAT_N,139.1327,50,30,5167.690037,0.702921631,26.47419661
OAT_N,141.5623,50,30,5179.750898,0.704107039,26.52656596
OAT_N,140.278,50,30,5173.37546,0.703480426,26.49888323
OAT_N,129.4443,50,30,5119.595518,0.698194637,26.26536589
OAT_N,144.5479,50,30,5194.571818,0.70556372,26.59091972
OAT_N,141.112,50,30,5177.515548,0.703887336,26.51685987
OAT_N,143.5655,50,30,5189.695052,0.705084405,26.56974437
OAT_N,141.2028,50,30,5177.966292,0.703931638,26.51881704
OAT_N,145.9802,50,30,5201.681947,0.706262543,26.62179254
OAT_N,125.7915,50,30,5101.462528,0.696412427,26.18663082
OAT_N,147.8524,50,30,5210.9758,0.707175994,26.66214728
OAT_P,135,42.6338,30,5125.764199,0.69983275,26.27934766
OAT_P,135,52.0367,30,5153.094621,0.701201822,26.414362
OAT_P,135,50.1644,30,5147.652604,0.700929213,26.38747802
OAT_P,135,47.0667,30,5138.648844,0.700478185,26.34299877
OAT_P,135,52.5398,30,5154.556929,0.701275074,26.42158591
OAT_P,135,53.0652,30,5156.084054,0.701351573,26.42913002
OAT_P,135,42.9505,30,5126.684718,0.699878862,26.28389509
OAT_P,135,44.4809,30,5131.132971,0.70010169,26.3058698
OAT_P,135,44.1901,30,5130.287733,0.700059349,26.30169426
OAT_P,135,41.224,30,5121.666481,0.699627481,26.25910463
OAT_P,135,46.2948,30,5136.405243,0.700365795,26.33191522
OAT_P,135,54.8099,30,5161.155191,0.701605603,26.45418181
OAT_P,135,45.6751,30,5134.604027,0.700275566,26.32301707
OAT_P,135,54.915,30,5161.460674,0.701620906,26.45569092
OAT_P,135,41.4928,30,5122.447774,0.699666619,26.26296428
OAT_P,135,50.5456,30,5148.760598,0.700984716,26.39295159
OAT_P,135,42.0207,30,5123.982166,0.699743482,26.27054429
OAT_P,135,42.1761,30,5124.433851,0.699766108,26.27277564
OAT_P,135,48.7714,30,5143.603717,0.700726391,26.36747622
OAT_P,135,50.9189,30,5149.845629,0.701039069,26.39831173
OAT_P,135,51.7889,30,5152.374367,0.701165742,26.41080389
OAT_P,135,57.1172,30,5167.861577,0.701941549,26.48731186
OAT_P,135,56.5782,30,5166.294923,0.70186307,26.47957247
OAT_P,135,51.2065,30,5150.681566,0.701080944,26.40244132
OAT_P,135,49.9569,30,5147.049485,0.700899001,26.38449857
OAT_P,135,40.8903,30,5120.696551,0.699578894,26.2543131
OAT_P,135,47.0024,30,5138.46195,0.700468823,26.3420755
OAT_P,135,48.2724,30,5142.153326,0.700653736,26.36031118
OAT_P,135,56.2673,30,5165.391262,0.701817802,26.47510832
OAT_P,135,45.1231,30,5132.999586,0.700195195,26.31509102
OAT_P,135,48.4111,30,5142.55647,0.700673931,26.36230274
OAT_P,135,45.1773,30,5133.157124,0.700203086,26.31586926
OAT_P,135,46.973,30,5138.376496,0.700464542,26.34165336
OAT_P,135,52.5198,30,5154.498797,0.701272162,26.42129873
OAT_P,135,47.1596,30,5138.918867,0.700491711,26.34433271
OAT_P,135,53.4856,30,5157.305987,0.701412784,26.43516646
OAT_P,135,44.852,30,5132.211608,0.700155722,26.31119835
OAT_P,135,40.5281,30,5119.643782,0.699526158,26.24911234
OAT_P,135,47.271,30,5139.242662,0.700507931,26.34593228
OAT_P,135,50.3146,30,5148.089174,0.700951083,26.38963471
OAT_P,135,44.8401,30,5132.17702,0.700153989,26.31102748
OAT_P,135,57.0935,30,5167.792691,0.701938098,26.48697156
OAT_P,135,55.7757,30,5163.96238,0.701746225,26.46804954
OAT_P,135,45.5939,30,5134.368011,0.700263744,26.32185114
OAT_P,135,55.1302,30,5162.086173,0.701652239,26.45878093
OAT_P,135,49.2136,30,5144.889013,0.700790776,26.37382568
OAT_P,135,44.8871,30,5132.31363,0.700160833,26.31170234
OAT_P,135,57.1451,30,5167.942671,0.701945611,26.48771247
OAT_P,135,50.7887,30,5149.467191,0.701020112,26.39644222
OAT_P,135,41.7842,30,5123.294756,0.699709047,26.26714843
OAT_P,135,47.0536,30,5138.610768,0.700476277,26.34281067
OAT_P,135,51.6232,30,5151.892744,0.701141616,26.40842463
OAT_P,135,51.3975,30,5151.236726,0.701108754,26.40518385
OAT_P,135,46.6323,30,5137.386219,0.700414936,26.33676131
OAT_P,135,56.9504,30,5167.376757,0.701917262,26.48491682
OAT_P,135,44.7691,30,5131.970651,0.700143652,26.310008
OAT_P,135,53.0576,30,5156.061964,0.701350466,26.42902089
OAT_P,135,51.8769,30,5152.630148,0.701178555,26.41206746
OAT_P,135,57.3567,30,5168.557707,0.70197642,26.49075079
OAT_P,135,45.228,30,5133.304488,0.700210468,26.31659725
OAT_P,135,43.2835,30,5127.652614,0.699927347,26.28867657
OAT_P,135,44.7442,30,5131.898277,0.700140026,26.30965047
OAT_P,135,56.2785,30,5165.423816,0.701819433,26.47526914
OAT_P,135,47.1661,30,5138.93776,0.700492658,26.34442604
OAT_P,135,40.7663,30,5120.336133,0.69956084,26.25253261
OAT_P,135,49.7773,30,5146.527461,0.700872851,26.38191973
OAT_P,135,52.4425,30,5154.274118,0.701260907,26.4201888
OAT_P,135,57.7012,30,5169.559029,0.70202658,26.4956974
OAT_P,135,59.3328,30,5174.301429,0.702264142,26.51912521
OAT_P,135,51.9262,30,5152.773443,0.701185733,26.41277535
OAT_P,135,50.1645,30,5147.652894,0.700929228,26.38747946
OAT_P,135,48.5838,30,5143.058439,0.700699076,26.36478251
OAT_P,135,46.7348,30,5137.684145,0.70042986,26.33823309
OAT_P,135,58.0939,30,5170.700449,0.702083757,26.5013361
OAT_P,135,55.115,30,5162.041993,0.701650026,26.45856268
OAT_P,135,51.2164,30,5150.710342,0.701082386,26.40258347
OAT_P,135,57.0378,30,5167.630794,0.701929988,26.48617177
OAT_P,135,43.7434,30,5128.989357,0.699994309,26.29528018
OAT_P,135,51.1731,30,5150.584486,0.701076081,26.40196174
OAT_P,135,45.1417,30,5133.053649,0.700197903,26.31535809
OAT_P,135,42.0139,30,5123.962401,0.699742492,26.27044665
OAT_P,135,48.5141,30,5142.85585,0.700688928,26.3637817
OAT_P,135,59.8464,30,5175.794257,0.702338923,26.52649989
OAT_P,135,47.4838,30,5139.861185,0.700538915,26.34898783
OAT_P,135,51.464,30,5151.430014,0.701118437,26.40613871
OAT_P,135,46.3129,30,5136.457853,0.700368431,26.33217511
OAT_P,135,59.1427,30,5173.748886,0.702236464,26.51639561
OAT_P,135,53.8351,30,5158.321842,0.701463671,26.44018486
OAT_P,135,47.8397,30,5140.895642,0.700590734,26.35409812
OAT_P,135,55.2659,30,5162.480598,0.701671997,26.46072942
OAT_P,135,55.518,30,5163.213351,0.701708703,26.46434928
OAT_P,135,41.9977,30,5123.915314,0.699740133,26.27021403
OAT_P,135,56.3496,30,5165.630475,0.701829785,26.47629005
OAT_P,135,51.1418,30,5150.49351,0.701071524,26.40151231
OAT_P,135,49.0158,30,5144.314089,0.700761976,26.37098551
OAT_P,135,52.7629,30,5155.205391,0.701307558,26.42478935
OAT_P,135,56.1917,30,5165.171524,0.701806795,26.4740228
OAT_P,135,41.1472,30,5121.443255,0.699616299,26.25800188
OAT_P,135,54.0314,30,5158.892406,0.701492253,26.44300349
OAT_P,135,55.1086,30,5162.023391,0.701649094,26.45847078
OAT_P,135,46.5311,30,5137.092072,0.700400201,26.3353082
OAT_P,135,51.6794,30,5152.056095,0.701149799,26.4092316
OAT_P,135,48.4796,30,5142.755572,0.700683905,26.36328632
OAT_P,135,55.9751,30,5164.541955,0.701775258,26.47091268
OAT_P,135,53.7146,30,5157.971597,0.701446126,26.43845462
OAT_P,135,57.5186,30,5169.028285,0.701999993,26.49307548
OAT_P,135,43.8987,30,5129.440751,0.700016921,26.29751011
OAT_P,135,57.0432,30,5167.646489,0.701930774,26.48624931
OAT_P,135,55.0294,30,5161.793188,0.701637563,26.45733357
OAT_P,135,48.3694,30,5142.435265,0.700667859,26.36170398
OAT_P,135,52.461,30,5154.32789,0.701263601,26.42045443
OAT_P,135,59.8969,30,5175.94104,0.702346276,26.52722501
OAT_P,135,45.5853,30,5134.343014,0.700262491,26.32172765
OAT_P,135,41.7982,30,5123.335448,0.699711086,26.26734945
OAT_P,135,49.9845,30,5147.129707,0.70090302,26.38489487
OAT_P,135,51.2959,30,5150.941416,0.701093961,26.403725
OAT_P,135,59.5279,30,5174.868506,0.702292549,26.52192661
OAT_P,135,44.3189,30,5130.662102,0.700078102,26.30354367
OAT_P,135,49.2033,30,5144.859075,0.700789276,26.37367778
OAT_P,135,46.784,30,5137.82715,0.700437023,26.33893954
OAT_P,135,48.1221,30,5141.716465,0.700631852,26.35815305
OAT_P,135,55.703,30,5163.751071,0.70173564,26.46700565
OAT_P,135,49.6027,30,5146.019969,0.700847429,26.37941268
OAT_P,135,41.3648,30,5122.07573,0.699647982,26.26112635
OAT_P,135,46.1279,30,5135.920133,0.700341495,26.32951874
OAT_P,135,48.4608,30,5142.700928,0.700681167,26.36301637
OAT_P,135,45.781,30,5134.911835,0.700290986,26.32453767
OAT_P,135,44.2837,30,5130.55979,0.700072977,26.30303824
OAT_P,135,54.4926,30,5160.232928,0.701559404,26.44962576
OAT_P,135,52.447,30,5154.287197,0.701261562,26.42025341
OAT_P,135,40.9597,30,5120.898268,0.699588999,26.2553096
OAT_P,135,56.7296,30,5166.734981,0.701885114,26.48174639
OAT_P,135,57.0589,30,5167.692123,0.70193306,26.48647475
OAT_P,135,53.4734,30,5157.270526,0.701411007,26.43499128
OAT_P,135,44.6877,30,5131.734055,0.7001318,26.3088392
OAT_P,135,58.862,30,5172.933004,0.702195593,26.51236509
OAT_P,135,53.035,30,5155.996275,0.701347176,26.42869638
OAT_P,135,53.8911,30,5158.484611,0.701471825,26.44098895
OAT_P,135,58.7989,30,5172.749598,0.702186406,26.51145905
OAT_P,135,48.5835,30,5143.057567,0.700699033,26.3647782
OAT_P,135,49.2541,30,5145.00673,0.700796673,26.37440721
OAT_P,135,40.3344,30,5119.080775,0.699497955,26.24633105
OAT_P,135,49.8006,30,5146.595184,0.700876244,26.38225429
OAT_P,135,52.3406,30,5153.977936,0.70124607,26.41872563
OAT_P,135,51.9869,30,5152.949873,0.701194571,26.41364693
OAT_P,135,48.5546,30,5142.973567,0.700694825,26.36436323
OAT_P,135,43.5601,30,5128.456578,0.69996762,26.29264822
OAT_P,135,42.6455,30,5125.798206,0.699834453,26.27951566
OAT_P,135,50.4098,30,5148.365882,0.700964944,26.39100167
OAT_P,135,55.955,30,5164.483533,0.701772331,26.47062407
OAT_K,135,50,34.9372,5162.067034,0.702291613,26.4463563
OAT_K,135,50,39.4139,5175.570284,0.703548644,26.50188332
OAT_K,135,50,25.7908,5134.47838,0.699723358,26.33290836
OAT_K,135,50,28.8336,5143.6565,0.700577758,26.37064992
OAT_K,135,50,39.0329,5174.421058,0.703441662,26.49715756
OAT_K,135,50,21.9683,5122.94842,0.698650022,26.28549575
OAT_K,135,50,24.7911,5131.462945,0.699442648,26.32050852
OAT_K,135,50,39.2028,5174.933534,0.703489369,26.49926493
OAT_K,135,50,39.4553,5175.69516,0.703560269,26.50239683
OAT_K,135,50,26.3645,5136.208855,0.699884449,26.34002429
OAT_K,135,50,34.9983,5162.251332,0.70230877,26.44711416
OAT_K,135,50,32.7072,5155.340595,0.701665442,26.41869636
OAT_K,135,50,30.2579,5147.952673,0.700977693,26.38831631
